# XSS Hunt Results
# Target: nasa.gov
# Date: Sat May 30 23:23:40 UTC 2026
# Wayback: 12160 | gf xss: 438 | uro: 55 | Gxss: 72 | kxss: 160
# Pipeline: waybackurls | gf xss | uro | Gxss | kxss
============================================================

### [SECTION 1] Gxss Reflections (72 found) ###
------------------------------------------------------------
https://airbornescience.nasa.gov/aircraft_detailed_cal/2015-01?aircraft_id=Gxss

https://airbornescience.nasa.gov/aircraft_detailed_cal/ical/2015-01?aircraft_id=Gxss

https://airbornescience.nasa.gov/aircraft_detailed_cal?aircraft_id=Gxss

https://airbornescience.nasa.gov/faqs?field_help_topics_tid=SOFRS&sort_by=Gxss&sort_order=ASC&title=

https://airbornescience.nasa.gov/faqs?field_help_topics_tid=SOFRS&sort_by=created&sort_order=Gxss&title=

https://airbornescience.nasa.gov/faqs?field_help_topics_tid=Gxss&sort_by=created&sort_order=ASC&title=

https://airbornescience.nasa.gov/faqs?field_help_topics_tid=SOFRS&sort_by=created&sort_order=ASC&title=Gxss

https://airbornescience.nasa.gov/flight-reports?page=Gxss

https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=&field_itype_tid=169&field_meas_tid=&inst_team=&order=Gxss&sort=asc&title=

https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=&field_itype_tid=169&field_meas_tid=&inst_team=&order=entity_id&sort=Gxss&title=

https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=&field_itype_tid=Gxss&field_meas_tid=&inst_team=&order=entity_id&sort=asc&title=

https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=&field_itype_tid=169&field_meas_tid=&inst_team=&order=entity_id&sort=asc&title=Gxss

https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=&field_itype_tid=169&field_meas_tid=&inst_team=Gxss&order=entity_id&sort=asc&title=

https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=Gxss&field_itype_tid=169&field_meas_tid=&inst_team=&order=entity_id&sort=asc&title=

https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=&field_itype_tid=169&field_meas_tid=Gxss&inst_team=&order=entity_id&sort=asc&title=

https://airbornescience.nasa.gov/instrument/all?field_meas_tid=Gxss&page=1

https://airbornescience.nasa.gov/instrument/all?field_meas_tid=Particle+size+distribution&page=Gxss

https://airbornescience.nasa.gov/program/news?page=Gxss

https://airbornescience.nasa.gov/science-reports?field_sci_rprt_aircraft_value=&field_sci_rprt_aircraft_value_center=&field_sci_rprt_aircraft_value_main=&field_sci_rprt_aircraft_value_single=&field_sci_rprt_mission_tid=&order=title&sort=Gxss

https://airbornescience.nasa.gov/science-reports?field_sci_rprt_aircraft_value=&field_sci_rprt_aircraft_value_center=&field_sci_rprt_aircraft_value_main=Gxss&field_sci_rprt_aircraft_value_single=&field_sci_rprt_mission_tid=&order=title&sort=asc

https://airbornescience.nasa.gov/science-reports?field_sci_rprt_aircraft_value=&field_sci_rprt_aircraft_value_center=&field_sci_rprt_aircraft_value_main=&field_sci_rprt_aircraft_value_single=Gxss&field_sci_rprt_mission_tid=&order=title&sort=asc

https://airbornescience.nasa.gov/science-reports?field_sci_rprt_aircraft_value=&field_sci_rprt_aircraft_value_center=Gxss&field_sci_rprt_aircraft_value_main=&field_sci_rprt_aircraft_value_single=&field_sci_rprt_mission_tid=&order=title&sort=asc

https://airbornescience.nasa.gov/science-reports?field_sci_rprt_aircraft_value=Gxss&field_sci_rprt_aircraft_value_center=&field_sci_rprt_aircraft_value_main=&field_sci_rprt_aircraft_value_single=&field_sci_rprt_mission_tid=&order=title&sort=asc

https://airbornescience.nasa.gov/science-reports?field_sci_rprt_aircraft_value=&field_sci_rprt_aircraft_value_center=&field_sci_rprt_aircraft_value_main=&field_sci_rprt_aircraft_value_single=&field_sci_rprt_mission_tid=Gxss&order=title&sort=asc

https://airbornescience.nasa.gov/science-reports?field_sci_rprt_aircraft_value=&field_sci_rprt_aircraft_value_center=&field_sci_rprt_aircraft_value_main=&field_sci_rprt_aircraft_value_single=&field_sci_rprt_mission_tid=&order=Gxss&sort=asc

https://airbornescience.nasa.gov/science-reports?field_sci_rprt_aircraft_value=&field_sci_rprt_aircraft_value_center=Gxss&field_sci_rprt_aircraft_value_main=&field_sci_rprt_aircraft_value_single=&field_sci_rprt_mission_tid=&page=1

https://airbornescience.nasa.gov/science-reports?field_sci_rprt_aircraft_value=Gxss&field_sci_rprt_aircraft_value_center=&field_sci_rprt_aircraft_value_main=&field_sci_rprt_aircraft_value_single=&field_sci_rprt_mission_tid=&page=1

https://airbornescience.nasa.gov/science-reports?field_sci_rprt_aircraft_value=&field_sci_rprt_aircraft_value_center=&field_sci_rprt_aircraft_value_main=&field_sci_rprt_aircraft_value_single=&field_sci_rprt_mission_tid=Gxss&page=1

https://airbornescience.nasa.gov/science-reports?field_sci_rprt_aircraft_value=&field_sci_rprt_aircraft_value_center=&field_sci_rprt_aircraft_value_main=&field_sci_rprt_aircraft_value_single=&field_sci_rprt_mission_tid=&page=Gxss

https://airbornescience.nasa.gov/science-reports?field_sci_rprt_aircraft_value=&field_sci_rprt_aircraft_value_center=&field_sci_rprt_aircraft_value_main=Gxss&field_sci_rprt_aircraft_value_single=&field_sci_rprt_mission_tid=&page=1

https://airbornescience.nasa.gov/science-reports?field_sci_rprt_aircraft_value=&field_sci_rprt_aircraft_value_center=&field_sci_rprt_aircraft_value_main=&field_sci_rprt_aircraft_value_single=Gxss&field_sci_rprt_mission_tid=&page=1

https://apod.nasa.gov/cgi-bin/apod/apod_search?tquery=Gxss

https://robotics.arc.nasa.gov/news_feature.php?id=Gxss

https://ti.arc.nasa.gov/blog/irg/?attachment_id=Gxss

https://ti.arc.nasa.gov/publications/?page=1&year=Gxss

https://ti.arc.nasa.gov/publications/?page=Gxss&year=2009


### [SECTION 2] kxss Verified XSS (160 found) ###
------------------------------------------------------------
URL: https://apod.nasa.gov/cgi-bin/apod/apod_search?tquery=Gxss Param: tquery Unfiltered: [" $ ( ) : { }] 
URL: https://airbornescience.nasa.gov/aircraft_detailed_cal/ical/2015-01?aircraft_id=Gxss Param: aircraft_id Unfiltered: [] 
URL: https://airbornescience.nasa.gov/faqs?field_help_topics_tid=Gxss&sort_by=created&sort_order=ASC&title= Param: sort_by Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/faqs?field_help_topics_tid=Gxss&sort_by=created&sort_order=ASC&title= Param: title Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/faqs?field_help_topics_tid=Gxss&sort_by=created&sort_order=ASC&title= Param: sort_order Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=Gxss&field_itype_tid=169&field_meas_tid=&inst_team=&order=entity_id&sort=asc&title= Param: title Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=&field_itype_tid=169&field_meas_tid=&inst_team=&order=entity_id&sort=Gxss&title= Param: title Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/faqs?field_help_topics_tid=SOFRS&sort_by=created&sort_order=ASC&title=Gxss Param: sort_by Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/faqs?field_help_topics_tid=SOFRS&sort_by=created&sort_order=ASC&title=Gxss Param: sort_order Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/faqs?field_help_topics_tid=SOFRS&sort_by=created&sort_order=ASC&title=Gxss Param: field_help_topics_tid Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/faqs?field_help_topics_tid=SOFRS&sort_by=created&sort_order=ASC&title=Gxss Param: title Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=&field_itype_tid=169&field_meas_tid=Gxss&inst_team=&order=entity_id&sort=asc&title= Param: title Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=&field_itype_tid=169&field_meas_tid=&inst_team=&order=Gxss&sort=asc&title= Param: title Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/science-reports?field_sci_rprt_aircraft_value=&field_sci_rprt_aircraft_value_center=&field_sci_rprt_aircraft_value_main=&field_sci_rprt_aircraft_value_single=&field_sci_rprt_mission_tid=&order=Gxss&sort=asc Param: field_sci_rprt_aircraft_value_main Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/science-reports?field_sci_rprt_aircraft_value=&field_sci_rprt_aircraft_value_center=&field_sci_rprt_aircraft_value_main=Gxss&field_sci_rprt_aircraft_value_single=&field_sci_rprt_mission_tid=&order=title&sort=asc Param: field_sci_rprt_aircraft_value_main Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/faqs?field_help_topics_tid=Gxss&sort_by=created&sort_order=ASC&title= Param: field_help_topics_tid Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/aircraft_detailed_cal?aircraft_id=Gxss Param: aircraft_id Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=Gxss&field_itype_tid=169&field_meas_tid=&inst_team=&order=entity_id&sort=asc&title= Param: inst_team Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=Gxss&field_itype_tid=169&field_meas_tid=&inst_team=&order=entity_id&sort=asc&title= Param: field_itype_tid Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=Gxss&field_itype_tid=169&field_meas_tid=&inst_team=&order=entity_id&sort=asc&title= Param: field_aircraft_tid Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=&field_itype_tid=169&field_meas_tid=Gxss&inst_team=&order=entity_id&sort=asc&title= Param: sort Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=&field_itype_tid=169&field_meas_tid=&inst_team=&order=entity_id&sort=Gxss&title= Param: inst_team Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=Gxss&field_itype_tid=169&field_meas_tid=&inst_team=&order=entity_id&sort=asc&title= Param: sort Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=&field_itype_tid=169&field_meas_tid=Gxss&inst_team=&order=entity_id&sort=asc&title= Param: field_meas_tid Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=Gxss&field_itype_tid=169&field_meas_tid=&inst_team=&order=entity_id&sort=asc&title= Param: field_meas_tid Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=&field_itype_tid=169&field_meas_tid=&inst_team=&order=entity_id&sort=Gxss&title= Param: sort Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=&field_itype_tid=169&field_meas_tid=Gxss&inst_team=&order=entity_id&sort=asc&title= Param: inst_team Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=&field_itype_tid=169&field_meas_tid=&inst_team=&order=entity_id&sort=Gxss&title= Param: field_aircraft_tid Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=&field_itype_tid=Gxss&field_meas_tid=&inst_team=&order=entity_id&sort=asc&title= Param: field_meas_tid Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=&field_itype_tid=169&field_meas_tid=Gxss&inst_team=&order=entity_id&sort=asc&title= Param: field_aircraft_tid Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=&field_itype_tid=169&field_meas_tid=Gxss&inst_team=&order=entity_id&sort=asc&title= Param: field_itype_tid Unfiltered: [$ | ( ) ` : ; { }] 
URL: https://airbornescience.nasa.gov/instrument/all?field_aircraft_tid=&field_itype_tid=169&field_meas_tid=&inst_team=&order=entity_id&sort=Gxss&title= Param: field_meas_tid Unfiltered: [$ | ( ) ` : ; { }] 
